Publication Title,Total_Forks,Diversity_Score
1130: MORTALITY AND CRITICAL DETERIORATION IN HOSPITALIZED CHILDREN,1.0,0.0
1133: UTILITY OF LONGITUDINAL TRENDS FOR PREDICTING DETERIORATION IN HOSPITALIZED CHILDREN,1.0,0.0
1179: NOVEL ECHOCARDIOGRAPHIC PHENOTYPES FOR ASSESSMENT OF SYSTOLIC FUNCTION IN PATIENTS WITH SEPSIS,1.0,0.0
1186: IMPACT OF ECHOCARDIOGRAPHY ON IN-HOSPITAL MORTALITY IN ADULT SEPSIS AND SEPTIC SHOCK,1.0,0.0
1206: BETA-LACTAM DOSING IN PATIENTS WITH SEPSIS AND AKI: A MULTICENTER OBSERVATIONAL STUDY,1.0,0.0
1255: INTERHOSPITAL VARIATION IN THE REINITIATION OF VASOPRESSOR THERAPIES,1.0,0.0
202: RACIAL DIFFERENCES IN COMMERCIAL MONITORING SOFTWARE DETECTION OF ATRIAL FIBRILLATION,1.0,0.0
42: VANCOMYCIN AND PIPERACILLIN-TAZOBACTAM OR CEFEPIME AND SEPSIS-ASSOCIATED AKI TRAJECTORY,1.0,0.0
504: PERICARDIAL TAMPONADE AND OBSTRUCTIVE SHOCK: COMPLICATION OF TENECTEPLASE FOR ACUTE ISCHEMIC STROKE,1.0,0.0
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,1.0,0.0
895: PROTOCOLIZED CARE FOR ACUTE RESPIRATORY DISTRESS SYNDROME: BEFORE AND DURING THE PANDEMIC,1.0,0.0
904: OUTCOMES OF COMPLICATED PARAPNEUMONIC EFFUSIONS TREATED WITH INTRAPLEURAL TISSUE PLASMINOGEN,1.0,0.0
957: THE ASSOCIATION OF EARLY ANTIBIOTIC USE WITH PROLONGED MECHANICAL VENTILATION IN SEVERE COVID-19,1.0,0.0
A Comparison Between Sensitivity Analysis of Oxygenation Severity and Acute Respiratory Distress Syndrome (ARDS) of a Machine Learning Algorithm to Predict Hypoxic Respiratory …,1.0,0.0
A Framework for Developing a Multidisciplinary Approach to Prone Positioning in Acute Respiratory Distress Syndrome,1.0,0.0
A Real-Time Deep Learning Approach for Inferring Intracranial Pressure from Routinely Measured Extracranial Waveforms in the Intensive Care Unit,1.0,0.0
A focus on subtle signs and motor behavior to unveil awareness in unresponsive brain-impaired patients: the importance of being clinical,1.0,0.0
A multi-modal array of interpretable features to evaluate language and speech patterns in different neurological disorders,1.0,0.0
Abnormal thrombosis and neutrophil activation increase hospital-acquired sacral pressure injuries and morbidity in COVID-19 patients,1.0,0.0
Adjunctive Vasopressors in Patients with Septic Shock: Protocol for a Systematic Review and Meta-Analysis,1.0,0.0
An annotated ventricular tachycardia (VT) alarm database: Toward a uniform standard for optimizing automated VT identification in hospitalized patients,1.0,0.0
"Assessment of Symptom, Disability, and Financial Trajectories in Patients Hospitalized for COVID-19 at 6 Months",1.0,0.6666666666666667
Assistive Multimodal Wearable for Open Air Digit Recognition Using Machine Learning,1.0,0.0
Association of Noninvasive Respiratory Support with Extubation Outcomes in Brain-injured Patients Receiving Mechanical Ventilation: A Secondary Analysis of the ENIO Prospective …,1.0,0.0
Attosecond-Angstrom free-electron-laser towards the cold beam limit,1.0,0.0
Author reply: DoC: a pathophysiological continuum with high variabiity?,1.0,0.0
Author reply: Too less experiments for an ALE-meta analysis?,1.0,0.0
Automated Matching of Patients to Clinical Trials: A Patient-Centric Natural Language Processing Approach for Pediatric Leukemia,1.0,0.0
COMPASS-CAT versus Khorana risk assessment model for predicting venous thromboembolic events in patients with non-small cell lung cancer on active treatment with chemotherapy …,1.0,0.0
Cardiogenic shock complicating sepsis and septic shock: A national inpatient sample analysis.,1.0,0.0
Cardiovascular Adverse Events after COVID-19 Vaccination,1.0,0.0
Caring for two in the ICU: Pharmacotherapy in the critically ill pregnant patient,1.0,0.0
Caring for two in the ICU: pharmacologic management of pregnancy‐related complications,1.0,0.0
Central lung gene expression associates with myofibroblast features in idiopathic pulmonary fibrosis,1.0,0.0
Clinical Context From the Medical Record Improves Artificial Intelligence Models for Sepsis Prediction,1.0,0.0
Clinical Outcomes After Multi-Disciplinary Evaluation for Lung Volume Reduction Surgery for Patients With Chronic Obstructive Pulmonary Disease,1.0,0.0
Clot-in-transit: A ticking time bomb in the heart with serious consequences,1.0,0.0
Cognitive Motor Dissociation: Gap Analysis and Future Directions,1.0,0.0
Comparative effectiveness of decompressive craniectomy versus craniotomy for traumatic acute subdural hematoma (CENTER-TBI): an observational cohort study,1.0,0.0
Comparison of Expert Recommended Ventilation Strategies in Simulated Obstructive Lung Disease,1.0,0.0
Computational modelling in disorders of consciousness: closing the gap towards personalised models for restoring consciousness,1.0,0.0
Contribution of clinical course to outcome after traumatic brain injury: mining patient trajectories from European intensive care unit data,1.0,0.0
Correlation between Tissue Doppler-derived left ventricular systolic velocity (mitral S’) and left ventricle ejection fraction (LVEF) in sepsis and septic shock: A …,1.0,0.0
Correlation between tissue Doppler-derived left ventricular systolic velocity (S’) and left ventricle ejection fraction in sepsis and septic shock: a retrospective cohort study,1.0,0.0
Critical Bias in Critical Care Devices,1.0,0.0
Decreased Incidence of Hospital-Acquired Infections After Implementation of Real-Time Visualization of Nursing Observations,1.0,0.0
Descriptive Comparison of Two Models of Tele-Critical Care Delivery in a Large Multi-Hospital Health Care System,1.0,0.0
Determinants of Professional Fulfillment and Burnout Among Intensivists: A National Survey by the Society of Critical Care Anesthesiologists in 2022,1.0,0.0
Development of a core outcome set for ventilation trials in neurocritical care patients with acute brain injury: protocol for a Delphi consensus study of international stakeholders,1.0,0.0
Digital cells radiation hardness study of TPSCo 65 nm CIS technology by designing a ring oscillator,1.0,0.0
Discharge Disposition and Loss of Independence Among Survivors of COVID-19 Admitted to Intensive Care: Results From the SCCM Discovery Viral Infection and Respiratory Illness …,1.0,0.0
Discharge disposition and loss of independence among survivors of COVID-19 admitted to intensive care: results From the SCCM Discovery Viral Infection and Respiratory Illness …,1.0,0.0
Early Extracorporeal Membranous Oxygenation (ECMO) Referral Leads to Less ECMO Use,1.0,0.0
Early serial echocardiographic and ultrasonographic findings in critically ill patients with COVID-19,1.0,0.0
Echocardiographic Profile of Cirrhotic Patients with Sepsis and Septic Shock: A Propensity Score Matched Case-Control Study,1.0,0.0
Echocardiographic profiles and hemodynamic response after vasopressin initiation in septic shock: A cross-sectional study,1.0,0.0
Emergency Nurses’ Well-Being in Magnet Hospitals and Recommendations for Improvements in Work Environments: A Multicenter Cross-Sectional Observational Study,1.0,0.0
"Enrichment of Mortality Events in Patients With Substance Misuse for Critical Care Research Utilizing Local, State, and National Data Sources",1.0,0.0
Esophageal Pressure Measurement: A Primer,1.0,0.0
Establishment and Evaluation of a Protocol of Coudé Catheter Placement by Nurses for Urinary Catheterization in Adult Males.,1.0,0.0
Facilitating the Next Paradigm Shift in Critical Care Through Artificial Intelligence,1.0,0.0
Fairness in the prediction of acute postoperative pain using machine learning models,1.0,0.0
First case of rapidly fatal mpox from secondary (household) transmission in a kidney transplant recipient,1.0,0.0
Forecasting imminent atrial fibrillation in long-term electrocardiogram recordings,1.0,0.0
Genetic patterning for child psychopathology is distinct from that for adults and implicates fetal cerebellar development,1.0,0.0
HIRA: heart rate interval based rapid alert score to characterize autonomic dysfunction among patients with sepsis-related acute respiratory failure (ARF),1.0,0.0
Heart Rate Variability (HRV) Based Interpretable Machine Learning Algorithm for Prediction of All-cause Acute Respiratory Failure (ARF) Among ICU Patients,1.0,0.0
Hyperacute Prediction of Targeted Temperature Management Outcome After Cardiac Arrest,1.0,0.0
Improving ICU Risk Predictive Models Through Automation Designed for Resiliency Against Documentation Bias,1.0,0.0
Incidence and Outcomes of Acute Respiratory Distress Syndrome in Brain-Injured Patients Receiving Invasive Ventilation: A Secondary Analysis of the ENIO Study,1.0,0.0
Incorporation of Serial 12-Lead Electrocardiogram With Machine Learning to Augment the Out-of-Hospital Diagnosis of Non-ST Elevation Acute Coronary Syndrome,1.0,0.0
Individualized Thresholds of Hypoxemia and Hyperoxemia and their Effect on Outcome in Acute Brain Injured Patients: A Secondary Analysis of the ENIO Study,1.0,0.0
Integrating multimodal information in machine learning for classifying acute myocardial infarction,1.0,0.0
"Intravenous aviptadil and remdesivir for treatment of COVID-19-associated hypoxaemic respiratory failure in the USA (TESICO): a randomised, placebo-controlled trial",1.0,1.0
Is left ventricular systolic dysfunction associated with increased mortality among patients with sepsis and septic shock?,1.0,0.0
Longer Travel Distance to Subspecialty Clinic Associates With Lower Lung Function in Pulmonary Sarcoidosis,1.0,0.0
Lung Ultrasonographic Signs in Pulmonary Disease–A Video Review,1.0,0.0
Machine Learning for the ECG Diagnosis and Risk Stratification of Occlusion Myocardial Infarction at First Medical Contact,1.0,0.0
Machine learning for ECG diagnosis and risk stratification of occlusion myocardial infarction,1.0,0.0
Mechanical Ventilation in patients with traumatic brain injury: Is it so Different?,1.0,0.0
"Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings, Part 1",1.0,0.0
Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings: part 2,1.0,0.0
Mining the contribution of intensive care clinical course to outcome after traumatic brain injury,1.0,0.0
Mining the contribution of intensive care clinical course to outcome after traumatic brain injury.,1.0,0.0
Mixed-Integer Projections for Automated Data Correction of EMRs Improve Predictions of Sepsis among Hospitalized Patients,1.0,0.0
Mortality of in-hospital cardiac arrest among patients with and without preceding sepsis: A national inpatient sample analysis,1.0,0.0
Multilingual evaluation of interpretable biomarkers to represent language and speech patterns in Parkinson's disease,1.0,0.0
Nationwide clinical practice patterns of anesthesiology critical care physicians: A survey to members of the Society of Critical Care Anesthesiologists,1.0,0.0
Noninvasive positive pressure in acute exacerbations of chronic obstructive pulmonary disease,1.0,0.0
Optimal Design of Clinical Trials Involving Persons with Disorders of Consciousness,1.0,0.0
Outcomes After Early Hypotension in Sepsis: A Retrospective Cohort Study,1.0,0.0
Outcomes after cardiac arrest in Medical Intensive Care Unit: A propensity score matching analysis of COVID-19 MICU vs non COVID-19 MICU cardiac arrest,1.0,0.0
Overt and occult hypoxemia in patients hospitalized with COVID-19,1.0,0.0
PO-02-021 DIRECTION OF REPOLARIZATION IN BASELINE ECG IS PREDICTIVE OF RESPONSE TO CARDIAC RESYNCHRONIZATION THERAPY,1.0,0.0
Peripheral administration of norepinephrine: a prospective observational study,1.0,1.0
"Physician and nurse well-being and preferred interventions to address burnout in hospital practice: factors associated with turnover, outcomes, and patient safety",1.0,0.0
Physiologic Markers of Disease Severity in ARDS,1.0,0.0
Plasma photocathodes,1.0,0.0
Pleural Infection and Gastric Distension: Finding the Connection With Sonographic Inspection,1.0,0.0
Predicting Intensive Care Delirium with Machine Learning: Model Development and External Validation,1.0,0.0
Predicting anti-cancer treatment-related symptoms in patients with head and neck cancer using a machine learning approach: A scoping review,1.0,0.0
Prevalence and Prognosis of Sepsis-Induced Cardiomyopathy: A Systematic Review and Meta-Analysis,1.0,0.0
Progress in hybrid plasma wakefield acceleration,1.0,0.0
