Publication Title,Author_female,Author_male,Fork_female,Fork_male
"A case of birt-hogg-dube, presenting with recurrent pneumothorax, managed with intrabronchial valve placement",0.0,1.0,0.0,1.0
A novel ICU hand-over tool: the glass door of the patient room,0.5,0.5,0.0,1.0
A rare case of disseminated Trichosporon asahii infection after orthotopic liver transplant,0.5714285714285714,0.42857142857142855,0.0,1.0
Abstract 124,0.13333333333333333,0.8666666666666667,0.0,1.0
Acute hepatotoxicity after high-dose cytarabine for the treatment of relapsed acute myeloid leukemia: a case report,0.5,0.5,1.0,0.0
Acute orthodeoxia: evaluation using point-of-care ultrasound imaging,0.25,0.75,1.0,0.0
An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,0.9090909090909091,0.09090909090909091,1.0,0.0
Anesthesia Instrument Recognition System.,0.3333333333333333,0.6666666666666666,0.0,1.0
B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant Liver Failure,0.0,1.0,0.0,1.0
C50 CRITICAL CARE: NON-PULMONARY CRITICAL CARE PROBLEMS: Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,1.0,0.0,1.0,0.0
"C57 CRITICAL CARE CASE REPORTS: HEMATOLOGY, ONCOLOGY, RHEUMATOLOGY, AND IMMUNOLOGY: B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant …",1.0,0.0,0.0,1.0
Cardiovascular diagnostic procedures,1.0,0.0,1.0,0.0
Characteristics and management of blunt renal injury in children,0.5,0.5,0.0,1.0
Continous Respiratory Monitoring of Nonintubated Patients Outside the ICU: ETCO2+ Oximetry vs Respiratory Volume Monitoring,0.3333333333333333,0.6666666666666666,0.0,1.0
Critical care management and intensive care unit outcomes following cytoreductive surgery with hyperthermic intraperitoneal chemotherapy,0.5555555555555556,0.4444444444444444,0.0,1.0
Delirium prediction using machine learning models on predictive electronic health records data,0.4,0.6,0.0,1.0
Determinants of prognosis in neurocatastrophes,1.0,0.0,0.0,1.0
Diffuse large B-cell lymphoma with secondary hemophagocytic lymphohistiocytosis presenting as acute liver failure,0.25,0.75,0.0,1.0
Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics,0.25,0.75,1.0,0.0
Evaluating the Diagnostic Accuracy of Clinical Risk Scores to Detect Acute Coronary Syndrome in Patients Evaluated at the Emergency Department for a Chief Complaint of Chest Pain,0.0,1.0,1.0,0.0
Evaluation of beat-to-beat ventricular repolarization lability from standard 12‐lead ECG during acute myocardial ischemia,0.0,1.0,1.0,0.0
Feasibility of mid-frequency ventilation among infants with respiratory distress syndrome,0.0,1.0,0.0,1.0
"Febrile Neutropenia Syndromes in Children: Should Management Differ for Primary, Persistent, Recurrent or Engraftment Fever?",0.0,1.0,0.0,1.0
First measurements of Trojan Horse injection in a plasma wakefield accelerator,0.8888888888888888,0.1111111111111111,1.0,0.0
Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,0.3333333333333333,0.6666666666666666,1.0,0.0
Hemophagocytic Lymphohistiocytosis: An Under Recognized But Fatal Disease,0.5,0.5,0.0,1.0
Horizon 2020 EuPRAXIA design study,0.993006993006993,0.006993006993006993,1.0,0.0
