Publication Title,Total_Forks,Diversity_Score
104: A GLOBAL SURVEY OF IMPACT OF VIOLENCE AGAINST HEALTHCARE WORKERS IN CRITICAL CARE SETTINGS: VISHWAS,1.0,0.0
1103: MULTIDISCIPLINARY ICU RECOVERY CLINIC VISITS: QUALITATIVE ANALYSIS OF PATIENT-PROVIDER INTERACTIONS,1.0,0.0
1126: LEVERAGING THE SCCM DISCOVERY VIRUS COVID-19 REGISTRY TO EVALUATE DRUG REPURPOSING RESEARCH DATASET,1.0,0.0
121: POST-ICU CLINICS MAY REDUCE ICU STAFF BURNOUT: CRITICAL & ACUTE ILLNESS RECOVERY ORGANIZATION REPORT,1.0,0.0
194: CHRONIC ANTICOAGULANT USE PRIOR TO COVID-19 DIAGNOSIS: A SYSTEMATIC REVIEW AND META-ANALYSIS,1.0,0.0
251: ASSOCIATION OF EARLY HEPARIN USE AMONG PATIENTS WITH COVID-19 AND SEPSIS AND HOSPITAL OUTCOMES,1.0,0.0
318: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH HOSPITAL AND ICU ADMISSION IN COVID-19,1.0,0.0
319: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH INTUBATION AND SEVERITY OF COVID-19,1.0,0.0
356: THERAPEUTIC USE OF BARICITINIB IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,1.0,0.0
383: MYOCARDITIS DUE TO LEGIONELLA: A CASE REPORT,1.0,0.0
472: HOSPITAL-ACQUIRED ACHROMOBACTER DENITRIFICANS BACTEREMIA: CASE REPORT AND REVIEW OF LITERATURE,1.0,0.0
4: VALIDATION OF HEPARIN-INDUCED THROMBOCYTOPENIA RISK STRATIFICATION TOOLS IN POST-SURGICAL PATIENTS,1.0,0.0
799: PREHOSPITAL USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,1.0,0.0
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,1.0,0.0
