Publication Title,Author_female,Author_male,Fork_female,Fork_male
104: A GLOBAL SURVEY OF IMPACT OF VIOLENCE AGAINST HEALTHCARE WORKERS IN CRITICAL CARE SETTINGS: VISHWAS,0.42857142857142855,0.5714285714285714,0.0,1.0
1103: MULTIDISCIPLINARY ICU RECOVERY CLINIC VISITS: QUALITATIVE ANALYSIS OF PATIENT-PROVIDER INTERACTIONS,1.0,0.0,1.0,0.0
1126: LEVERAGING THE SCCM DISCOVERY VIRUS COVID-19 REGISTRY TO EVALUATE DRUG REPURPOSING RESEARCH DATASET,0.5555555555555556,0.4444444444444444,0.0,1.0
121: POST-ICU CLINICS MAY REDUCE ICU STAFF BURNOUT: CRITICAL & ACUTE ILLNESS RECOVERY ORGANIZATION REPORT,1.0,0.0,1.0,0.0
194: CHRONIC ANTICOAGULANT USE PRIOR TO COVID-19 DIAGNOSIS: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.3,0.7,0.0,1.0
251: ASSOCIATION OF EARLY HEPARIN USE AMONG PATIENTS WITH COVID-19 AND SEPSIS AND HOSPITAL OUTCOMES,0.3333333333333333,0.6666666666666666,0.0,1.0
318: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH HOSPITAL AND ICU ADMISSION IN COVID-19,0.375,0.625,0.0,1.0
319: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH INTUBATION AND SEVERITY OF COVID-19,0.375,0.625,0.0,1.0
356: THERAPEUTIC USE OF BARICITINIB IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.375,0.625,0.0,1.0
383: MYOCARDITIS DUE TO LEGIONELLA: A CASE REPORT,0.5,0.5,0.0,1.0
472: HOSPITAL-ACQUIRED ACHROMOBACTER DENITRIFICANS BACTEREMIA: CASE REPORT AND REVIEW OF LITERATURE,0.5,0.5,0.0,1.0
4: VALIDATION OF HEPARIN-INDUCED THROMBOCYTOPENIA RISK STRATIFICATION TOOLS IN POST-SURGICAL PATIENTS,0.6,0.4,0.0,1.0
799: PREHOSPITAL USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.25,0.75,0.0,1.0
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,0.47058823529411764,0.5294117647058824,0.0,1.0
890: THERAPEUTIC USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.25,0.75,0.0,1.0
A Comprehensive Literature Review of Fournier’s Gangrene in Females,0.4,0.6,0.0,1.0
A Path to Real-World Evidence in Critical Care Using Open-Source Data Harmonization Tools,0.375,0.625,0.0,1.0
A Simple Epidemiologic Model for Predicting Impaired Neutralization of New SARS-CoV-2 Variants,0.5,0.5,0.0,1.0
A Template for Translational Bioinformatics: Facilitating Multimodal Data Analyses in Preclinical Models of Neurological Injury,0.38461538461538464,0.6153846153846154,0.0,1.0
A Two-layer Modified Beer-Lambert Algorithm for Optical Monitoring of Critical Closing Pressure,1.0,0.0,0.0,1.0
A concise guide to transtemporal contrast-enhanced ultrasound in children,0.0,1.0,0.0,1.0
A historical delve into neurotrauma-focused critical care,0.42857142857142855,0.5714285714285714,0.0,1.0
A population-based analysis of predictors of penile surgical intervention among inpatients with acute priapism,0.3333333333333333,0.6666666666666666,0.0,1.0
Addressing standardized definitions of post-COVID and long-COVID,0.3333333333333333,0.6666666666666666,0.0,1.0
Admission serum sodium and osmolarity are not associated with the occurrence or outcomes of acute respiratory distress syndrome in critically ill,0.4444444444444444,0.5555555555555556,0.0,1.0
Advanced neuromonitoring modalities on the horizon: detection and management of acute brain injury in children,0.6666666666666666,0.3333333333333333,0.0,1.0
Age and sex variation of SARS-CoV-2 cycle threshold value during prevalence of Omicron BA. 5 sublineage,1.0,0.0,0.0,1.0
Airway Smooth Muscle Relaxation Via Opsin 3 Activation With Beta-carotene Metabolites,1.0,0.0,0.0,1.0
American Society of Transplant Surgeons recommendations on best practices in donation after circulatory death organ procurement,0.3333333333333333,0.6666666666666666,0.0,1.0
An overview of the most important preanalytical factors influencing the clinical performance of SARS-CoV-2 antigen rapid diagnostic tests (Ag-RDTs),0.5,0.5,0.0,1.0
Antithrombin III infusion improves anticoagulation in congenital diaphragmatic hernia patients on extracorporeal membrane oxygenation,0.3333333333333333,0.6666666666666666,0.0,1.0
Are anti-SARS-CoV-2 S/N IgG/IgM antibodies always predictive of previous SARS-CoV-2 infection?,1.0,0.0,0.0,1.0
Assessing ENDS Device Type Accurately in Surveys,0.5,0.5,1.0,0.0
Assessment of humoral and cellular immunity after bivalent BNT162b2 vaccination and potential association with reactogenicity,0.5714285714285714,0.42857142857142855,0.0,1.0
Association of Non-Alcoholic Fatty Liver Disease and Metabolic-Associated Fatty Liver Disease with COVID-19-Related Intensive Care Unit Outcomes: A Systematic Review and Meta …,0.375,0.625,0.0,1.0
Association of Procalcitonin Level With Superimposed Infection and Early Antibiotic Discontinuation in COVID-19 Patients,1.0,0.0,0.0,1.0
"Association of Vitamin C, Thiamine, and Hydrocortisone Infusion With Long-term Cognitive, Psychological, and Functional Outcomes in Sepsis Survivors: A Secondary Analysis of …",0.4789915966386555,0.5210084033613446,0.0,1.0
Association of non-alcoholic fatty liver and metabolic-associated fatty liver with COVID-19 outcomes: A systematic review and meta-analysis,0.375,0.625,0.0,1.0
Association of plasma volume status with outcomes in hospitalized Covid-19 ARDS patients: A retrospective multicenter observational study,0.2727272727272727,0.7272727272727273,0.0,1.0
Australia tightens its prescription-only regulation of e-cigarettes,0.0,1.0,1.0,0.0
